Fragenummer,Frage,Themenbereich,Antwort,Rank
97,Was ist ECN?,IPv4 / Network Layer,ECN = Explicit Congestion Notification→ Signalisiert überlstung ohne Paketverlust,1
138,Wie funktioniert die Vermeidung von Adresskonflikten bei IPv6?,IPv6,"Durch Duplicate Address Detection (DAD) prüft ein Host vor Nutzung, ob eine Adresse bereits vergeben ist.",1
30,Was versteht man unter Modulation?,Physical Layer,"Das umwandeln von (digitalen) daten in elektronische/analoge signale, um diese über ein medium zu transportieren. ",3
72,Skizzieren Sie das 802.3 Rahmenformat.,Data Link Layer,Zieladresse Quelladresse Länge 0xFFFF Daten FCS ,2
144,Diskutieren Sie den Einsatz von „Happy Eyeballs“.,IPv6,"Happy Eyeballs beschleunigt Dual-Stack-Verbindungen, indem IPv4 und IPv6 parallel getestet und der schnellere genutzt wird.",1
62,Skizzieren Sie ein ARQ Protokoll auf Sender-/Empfänger-Seite.,Data Link Layer,"Automatic Request protokol: fehlerhafte oder verlorene frames werden wiederhohlt / verbotene Zone: In Arq Protokollen darf die Anzahl gleichzeitiger unbestätigter Frames nciht größer als der Halbe Sequenznummernraum sein , Sonst: verwechslung möglich nach Timeout ",2
26,Was versteht man unter Rauschen?,Physical Layer,Rauschen = Störungen im Signal (zb. Durch elektrische interferenzen),3
75,Wie sieht der Ethernet Rahmen aus und was bedeuten die Felder?,Data Link Layer,"Etherhet Rahemformat ( ethernet Frame) : präambel, Start Frame Delimiter, Ziel MAC, Quell MAC, Typfeld (protokol), Nutzdaten, CRC ",2
128,Nennen Sie 2 Tunneling-Protokolle und ihre Funktionsweise?,IPv4 / Network Layer,"IPsec: Sicher auf IP-Schicht, GRE: Einfache Tunnelung, ohne Verschlüsselung",2
67,Wozu dienen NAKs?,Data Link Layer,NAK = Negative ACK = Empfänger fordet wiederholung an ,2
39,Nennen Sie drei Übertragungsmedien und ihre wesentlichen Charakteristika.,Physical Layer,"Kupferfaser = Günstig und Störanfälliger, Lichtwellenleiter(Glasfaser, Fiber To The Home) = teuer, schneller , Funkübertragung (z. B. WLAN, Mobilfunk, Satellit)
Typ: Drahtloses Medium (elektromagnetische Wellen)

Beispiel: Wi-Fi, LTE/5G, Bluetooth, Satelliteninternet

Eigenschaften:

Flexibilität: Keine physische Verbindung notwendig → mobil einsetzbar",2
87,Was bedeutet Robustheit eines Routing-Verfahrens?,IPv4 / Network Layer,Ausfallsicherbheit bei defekten Knoten ,2
106,Was unterscheidet tabellarisch Virtual-Circuit und Datagram Vermittlung.,IPv4 / Network Layer,Antwort zu gros für Tabelle! Antwort im Internet suchen!,1
143,Beschreiben Sie die Transition zu IPv6 mit NAT64.,IPv6,NAT64 übersetzt IPv6-Anfragen zu IPv4-Servern über eine spezielle Gateway-Adresse und DNS64.,1
115,Erklären Sie fünf ICMPv4 Kontrollnachrichten/Fehlermeldungen?,IPv4 / Network Layer,0 Echo Reply 3 Destination unreachable 5 Redirect Message 8 Echo Request 11 Time Exceeded  ,
103,Was unterscheidet Distance Vector von Link-state Routing?,IPv4 / Network Layer,Routing Information Protocol zählt die einzelnen Hops die ein Packet von SRC zu DST braucht und entscheidet unteranderem anhand dessen welches der kürzsete Pfad ist ( max. 15 hops) bei State Link tielt jeder Informationen mit seinem nachbarn bis schlie0lich das gesamte autonome netz mit einer einzelnen Domain die topologie des Netzes kennt und der kürzeste pfad anhand von Graphalgorithmen berechnet werden kann ,3
78,Was erreicht man mit „bridging“?,Data Link Layer,"verbindet mehrere Lans auf Layer 2, Transparente brücke lernt MAC adressen, Spanning tree protocol (STP) : verhindert Schleifen ",
16,Skizzieren Sie das OSI-Modell und geben Sie pro Schicht eine/die wesentliche,Allgemein,Physical Layer: Bits senden / Sicherung: Fehlererkennung / Vermittlung: Routing/ Transport: Ende-zu-Ende-Verbindung / Sitzung: Verbindungssteuerung / Darstellung: Datenformatierung/ Anwendung: Dienste für Nutzer,
93,Mit welchem Verfahren kann man einen Datenstrom auf konstante Rate regeln und wann werden Pakete verworfen?,IPv4 / Network Layer,"Leaky Buckets: Feste rate, überschuss wird verworfen → Paket verlust: Wenn bucket überläuft, WIe ein Eimer mit einem kleinem loch, egal wie viel oder wie wenig wasser in den eimer geschüttet wird aus dem kleinem loch kommt immer die gleiche Menge ",
95,Erklären Sie das Leaky-Bucket Verfahren.,IPv4 / Network Layer,"Leaky Buckets: Feste rate, überschuss wird verworfen → Paket verlust: Wenn bucket überläuft, WIe ein Eimer mit einem kleinem loch, egal wie viel oder wie wenig wasser in den eimer geschüttet wird aus dem kleinem loch kommt immer die gleiche Menge ",3
107,Wie funktioniert Fragmentierung (am Beispiel IPv4)?,IPv4 / Network Layer,"Der Prozess der Fragmentierung wird durch mehrere Felder im IP-Header gesteuert. Das Feld ""Identification"" trägt denselben Wert für alle zusammengehörenden Fragmente, um sie zu identifizieren. Das ""Flags""-Feld enthält drei Bits, von denen das zweite Bit das ""Don’t Fragment""-Flag ist, das angibt, ob das Paket nicht fragmentiert werden darf. Das dritte Bit, das ""More Fragments""-Flag, ist gesetzt, außer im letzten Fragment. Das ""Fragment Offset""-Feld gibt an, an welcher Stelle die Daten des Fragments im Originalpaket stehen.",
37,Was unterscheidet analoger von digitaler Kommunikation?,Physical Layer,"Digitale Kommunikation: mit hilfe eines digitales Mediums: PC, telefon, Email, Internet Analoge Kommunikation: Mit gestik und mimik, tonfall → höhere persönlichere bindung ",
23,Was besagt die Formel von Nyquist?,Physical Layer,Max Bitrate ohne rauschen,
110,"Welche IPv4-Adressen sind für Broadcast-, Private- und Link-Local-Adressen reserviert?",IPv4 / Network Layer,"Broadcast: 255.255.255.255 Private: 10.0.0.0/8, 172.16.0.0/12, 192.168.0.0/16 Link-Local: 169.254.0.0/16",1
81,Wozu dient Redundanz in Leitungsprotokollen?,Data Link Layer,"Fehler erkennen oder sogar korrigieren durch zusätzliche Daten, CRC = Cycling redundancy Check, Parity bits, Checksummen",2
41,"Was sind die Unterschiede zw FDM, TDM und CDM?",Physical Layer,,1
94,Mit welchem Verfahren kann man einen Datenstrom auf variable Rate regeln und wann werden Pakete verworfen?,IPv4 / Network Layer,"Token Bucket: Flexibel, erlaubt bursts Paket verlust: Wenn keine token verfügbar, Bucket ist gefüllt mit tokens, kommt neuer request wird ein token entfernt und request wird “genehmigt” sind alle tokens weg wird nach und nach wieder aufgeüllt , sind keine toke da können auch keine Reqests “genehmigt” werden ",
91,Was ist Broadcast Routing?,IPv4 / Network Layer,Broadcast routing sendet eine nachricht an amme Netzwerk teilnehmer wie bsow. Ein Hub. ,
48,Charakterisieren Sie fünf Internet-Zugangsarten.,Physical Layer,"DSL	Über Kupferleitung, mittels Telefonnetz, mittlere Bandbreite
Kabelinternet	Über TV-Koaxialkabel, oft höhere Geschwindigkeit als DSL
Glasfaser (FTTH/FTTC)	Sehr hohe Geschwindigkeit, geringe Latenz, teuer in Ausbau
LTE/5G (Mobilfunk)	Drahtlos, flexibel, aber Bandbreite schwankend
Satelliteninternet	Weltweit verfügbar, hohe Latenz, wetterabhängig",
22,Was versteht man unter „Internet of Things“?,Physical Layer,"oT, geräte die über netzwerk Protokolle mit anderen Entitäten kommunizieren können. ",
114,Welches IPv4 Protokoll sendet welche,IPv4 / Network Layer,ICMP ist Teil von IP → Senden von Fehlermeldungen & Diagnosedaten. Internet Control Message Protocol ,3
7,Was ist ein Hohlleiter?,Allgemein,"Metallröhre zur Hochfrequenzübertragung, vor allem für Mikrowellen.",
20,Erklären Sie die wichtigsten Aufgaben/Funktionen der Bitübertragungsschicht?,Physical Layer,"Bitübertragungsschicht = Physical Layer: Modularisierung von Bits in Analoge wellenformen und übertragen von dieser über physchische medien wie kupfer, glasfaser, Funk",
38,Worin unterscheiden sich tabellarisch Leitungs- und Paketvermittlung?,Physical Layer,Antwort zu gros für Tabelle! Antwort im Internet suchen!,
11,Was sind asynchrone Übertragungsarten und in welcher Hinsicht sind sie das?,Allgemein,"Sender/Empfänger arbeiten ohne gemeinsamen Takt, Daten mit Start-/Stoppbits.",2
111,Welche IPv4 Netzklassen gibt es?,IPv4 / Network Layer,"A, B, C,  sind fpr normale netz anwendunge D und E D & E sind für multicast reserviert",1
53,Wofür steht CSMA/CD? Skizzieren Sie die Funktionsweise von CSMA/CD.,Data Link Layer,CSMA/CD (Carrier Sense Multiple Access with Collision Detection)  -Genutzt in Ethernet (veraltet). -Station  „hört“ vor dem Senden (Carrier Sense). -Kollisionen werden erkannt (Collision Detection) → dann Backoff-Zeit.  -Funktioniert nur bei Halbduplex und gemeinsamem Medium (z.B. Bus). ,
129,Wie funktioniert ein VPN?,IPv4 / Network Layer,Verschlüsselung + Tunneling,3
139,Erklären Sie die Aufgaben von ICMPv6.,IPv6,"ICMPv6 übernimmt Fehlerberichte, NDP-Nachrichten und Unterstützungsfunktionen für IPv6-Betrieb.",
102,Nach welchen Kriterien/Metriken kann ein kürzester Pfad in einem Netzwerk berechnet werden?,IPv4 / Network Layer,"entweder nach RIP, es werden die Hops gezählt und mit hilfe dieser unr Routing Tables wird der kürzeste Pfad Berechnet, dies ist Distance Vector und die maximale anzah an Hops hierbei beträgt nur 15. Eine andere methode ist OSP bei dem router ihre infomrationen an ihre dirketen nachbarn schicken und diese wiederum an ihre → Das Ganze netzwer kennt topologie un dberechent erneut auf Graphalgorithmen den kürzesten weg mit den wenigsten hops. ",2
92,Was unterscheidet transparente und nicht-transparente Fragmentierung,IPv4 / Network Layer,"Transparente Fragemntierung: Der Empfänger krigt nichts mit bei der fRagmentierung , bspws, IPv4 Nicht Transparente Fragmentierung: Empfänger seite erfährt das fragmentiert wurde IPv6",3
52,Welche Methoden zur Kollisionsvermeidung gibt es?,Data Link Layer,"CSMA/CD , Slotted ALOHA ",1
80,Wie kann ein Protokoll Fehlerfreiheit ohne Wiederholungen erreichen?,Data Link Layer,"Durch FEC: Sender sorgt fügt redundanz hinzu → empfänger kann fehler selbstständig korrigieren oder ARQ: fehler werden erkannt → Datem erneut angefordert, Höhere Latenz geringere Redundanz ",
56,Was ist eine Bus-Topologie?,Data Link Layer,Alle Geräte teilen sich eine Leitung. Nur eine Station kann zurzeit senden. Kollisionen möglich → CSMA/CD erforderlich.,2
88,Was bedeutet Stabilität eines Routing-Verfahrens?,IPv4 / Network Layer,Netzwerk erreicht nach Änderungen wieder Konstante Zustand. ,3
35,Was sind die Unterschiede zwischen Kupfer und Glasfaserkabel?,Physical Layer,"Kupferfaser = Günstig und Störanfälliger, Glasfaser = teuer, schneller ",3
140,Diskutieren Sie den Einsatz von NAT6?,IPv6,"NAT6 ist umstritten, da IPv6 eigentlich ausreichend Adressen bietet und End-to-End-Verbindungen ermöglichen soll.",
43,"Wo lassen sich Infrarot, Mikrowellen und UV-Strahlung auf dem Frequenzband einordnen?",Physical Layer,"UV 100 Nanometer, Infrarot, 700 Nanometer, Mikrowellen 300 MHz und 300Ghz ",
76,Warum müssen MAC Adressen eindeutig sein? Wie erreicht man das?,Data Link Layer,"Notwendign für eindeutige Identifikation im lokalen netzwerk, ersten 24bytes können öfter vorkommen ( vendor ID) zweiten 24bytes → unique ",
119,"Wie sehen die ARP-Nachrichten aus, damit Rechner A mit IPv4 Adresse IPA",IPv4 / Network Layer,Antwort zu gros für Tabelle! Antwort im Internet suchen!,2
134,Charakterisieren Sie IPv6?,IPv6,"IPv6 bietet 128-Bit-Adressen, integrierten IPsec-Support, vereinfachte Headerstruktur und bessere Autokonfiguration.",
60,Was sollte bei einem Protokoll des Data Link Layer vereinbart werden?,Data Link Layer,Rahmenformat / Adressierung (z.B. MAC-Adressen) / Fehlererkennung/-korrektur/ Zugriffsverfahren (MAC) / Flusskontrolle / Synchronisation,
12,Was unterscheidet synchrone von asynchroner Übertragung?,Allgemein,"Synchron: gemeinsamer Takt, kontinuierlicher Datenstrom; asynchron: kein Takt, einzelne Zeichen.",3
142,Was ist IPv4/IPv6 Translation und was ist dabei zu beachten?,IPv6,"Erfordert Protokollübersetzer wie NAT64 oder ALG, da IPv4- und IPv6-Pakete nicht direkt kompatibel sind.",
47,Über welche „Leitungen“ bieten Internetprovider Zugänge an?,Physical Layer,"Kupferkabel(DSL), Koaxialkabel(TV), Glasfaserleitungen, Mobilfunknetze(5G), Satellitenverbindungen ",
86,Welche Kriterien sollen Routing-Verfahren erfüllen?,IPv4 / Network Layer,"Robust, Stabil, Kürzesten Pfad finden ",2
118,Welche Betriebsmodi bietet DHCPv4 und wofür werden sie verwendet?,IPv4 / Network Layer,,
24,Was besagt die Formel von Shannon?,Physical Layer,"Max Bitrate mit Rauschen gibt den mittleren Informationsgehalt einer Nachricht an. Sie wird verwendet, um die Unordnung oder das Maß der Ungewissheit in einer Nachricht zu quantifizieren",1
29,Was ist Rauschen/Fehler/Signal?,Physical Layer,"Signal = Physikalisches Träger signal das Daten transportiert( Spannung, Licht, Funksignal)  Fehler = Bitfehler durch schlechte SIgnal QUalität oder rauschen ",
31,Skizzieren Sie kurz drei Modulationsverfahren?,Physical Layer,"FSK = Frequency Key Shifting, Amplitude Key Shifting, Phase Key Switching ",
25,Was kennzeichnet analoge im Gegensatz zu digitalen Signalen?,Physical Layer,"Analoge Signale sind Continuos ( wellenform) Digitale Signale sind diskret (0,1)",3
130,"Warum findet IPv4 noch Verwendung, obwohl es IPv6 schon länger gibt?",IPv4 / Network Layer,"IPv4 Funktioniert mit NAT, Rollout teuer, Legacy Hardware ",
73,Worin unterscheidet sich das 802.3 und das Ethernet-Rahmenformat?,Data Link Layer,"Ethernet = Zieladresse Quelladresse Typ Daten FCS, 802.3 = Zieladresse Quelladresse Länge 0xFFFF Daten FCS",
2,Was ist der Unterschied zwischen Deep Web und Dark Web?,Allgemein,"DeepWeb = Alle Inhalte im Internet, die nicht von Suchmaschinen indexiert sind. Dazu gehören 
– Intranets von Unternehmen
– Passwortgeschützte Seiten (z. B. Online-Banking)

Dark Web = Teilmenge des Deep Webs, die nur über spezielle Software wie Tor (The Onion Router) zugänglich ist. Wird anonym betrieben. Inhalte dort sind oft versteckt und nicht legal",
19,"Was unterscheidet Hub, Switch, Router?",Physical Layer,"Hub: Sendet Daten an alle Ports (Broadcast). Switch: Sendet gezielt an Zielgerät über MAC-Table  Router: Verbindet Netzwerke, leitet Daten per IP-Adresse weiter ",3
127,Was sind die Unterschiede zw Leitungs-/Nachrichten- und Paketvermittlung?,IPv4 / Network Layer,Antwort zu gros für Tabelle! Antwort im Internet suchen!,
