Fragenummer,Frage,Themenbereich,Antwort,Rank
6,Was bedeutet die Einführung von DoH?,Allgemein,"DoH (DNS over HTTPS) verschlüsselt DNS-Anfragen über HTTPS, um Tracking und Manipulation durch Dritte zu verhindern.",
68,Was bedeutet bei Sequenznummern „verbotene Zone“?,Data Link Layer,"In ARQ-Protokollen darf die Anzahl gleichzeitiger unbestätigter Frames nicht größer als der halbe Sequenznummernraum sein (z.B. bei Modulo-N = 8 → max. 4 Frames). , SOnnst: verwechslung möglich nach timeout ",
132,Skizzieren und erklären sie Tunneling Mechanismen für IPv6/IPv4.,IPv6,"IPv6-Pakete werden in IPv4-Pakete eingebettet (z. B. 6to4, Teredo), um IPv6 über IPv4-Netze zu transportieren.",
131,Was charakterisiert das „Tactile Internet“? Geben Sie Anwendungsbeispiele,IPv4 / Network Layer,"Tactile Internet, hohe verfügbarkeit und niedrigte latenz-→ z.b bei Uatonomen Fahrzeugen ",3
9,9. Welche Unterscheidungskriterien gibt es für Netze?,Allgemein,"Größe (Local AN/Wide AN), Topologie, Zugriffsverfahren, Übertragungsart.",
61,Skizzieren Sie ein Stop/Wait Protokoll auf Sender-/Empfänger-Seite.,Data Link Layer,"sebder wartet nach jeden Frame auf ACK, Einfach aber ineffizient bei langer RTT",
55,Was versteht man unter statischer bzw. dynamischer Kanalzuordnung?,Data Link Layer,"Statisch: Jeder Nutzer erhält festen Kanal/Zeitschlitz → ineffizient bei geringer Auslastung. Dynamisch: Kanäle nach Bedarf zugewiesen → effizienter. Bsp.: ALOHA, CSMA",
136,Wie funktioniert die IPv6 Autokonfiguration?,IPv6,"Ein Gerät generiert seine Adresse automatisch per SLAAC, ggf. ergänzt durch DHCPv6 für zusätzliche Infos.",
63,Nennen Sie wenigstens fünf Kanalzugriffsverfahren?,Data Link Layer,"ALOHA : Einfach, hohe kollision effizienz: 18%  , Slotted ALOHA: zeitfenster → effizienc 36%, CSMA: Sense before transmit, CSMA/CD Mit Kollisionserkennung, Token Passing: Token regelt zugriffsrecht",3
121,Adresse IPB herausfindet? Skizzieren Sie den Aufbau eines ARP-Requests,IPv4 / Network Layer,,
70,Erklären Sie ALOHA. Was ist slotted ALOHA und warum wurde es entwickelt?,Data Link Layer,"Aloha:  1. Transmit the frame,  if ACK received: Done  else: wait a random time and go to step 1 → maximum throughput 18&   Slotted ALOHA: Divide Time into time slots Transmission can only start at the beginninf of a slot → maximum throughput 36%",
13,Welche Entwurfsaspekte sind für Netzwerke entscheidend?,Allgemein,"Skalierbarkeit, Sicherheit, Zuverlässigkeit, Performance, Kosten.",
58,Welche Aufgaben hat die Leitungsschicht?,Data Link Layer,"Leitungsschicht (Physical Layer): Überträgt rohe Bits über ein physisches Medium (Kabel, Funk etc.).",
141,Erklären Sie die Herausforderungen beim Umstieg auf IPv6.,IPv6,"Kompatibilität, Kosten, Umrüstung von Geräten und Software sowie gleichzeitiger Betrieb mit IPv4 (Dual Stack)",2
17,Was ist DCF-77,Physical Layer,"Funkuhrsignal auf 77,5 kHz es überträgt beinahe 99% des Jahrs und andere können Atomuhr nach diesem SIgnal stellen ",
18,"Definieren Sie die Begriffe Schnittstelle, Signal, Laufzeit?",Physical Layer,"Schnittstelle: Verbindungspunkt zwischen zwei Schichten oder Geräten.
Signal: Physikalische Darstellung von Daten (z. B. elektrische Spannung).
Laufzeit: Zeit, die ein Signal von Sender zu Empfänger braucht",
112,Was ist eine Subnetzmaske?,IPv4 / Network Layer,Teilt IP in Netz- und Hostanteil,
79,Was ist Flusskontrolle und wie kann Flow Control gemacht werden?,Data Link Layer,"verhindert überlastung des Empfängers, durch Stop-Wait, Sliding Window, ",2
33,Skizzieren Sie drei Multiplexing-Verfahren.,Physical Layer,,1
4,"Was kann man tun, um Anonymität im Internet zu erreichen?",Allgemein,"Tor-Browser, VPNs, keine persönlichen Daten teilen, Cookies blockieren, Suchmaschinen wie DuckDuckGo nutzen, LISP benutzen, Digitalfingerprint nicht eng halten ",
65,Wozu dienen Duplicate ACKs?,Data Link Layer,"ACK (Acknowledgement) sender bestätigt Erhalt, Duplicate ACKS: Mehrere gleiche ACKS ignalisieren evtl verlust",
54,Nennen Sie wenigstens fünf 802.X Standards und ihren Einsatzbereich?,Data Link Layer," 802.3 Ethernt 802.11 WLAN (WiFi) 802.15 Bluetooth, WPAN 802.1D Bridging, Spanning Tree Protocol 802.1Q VLAN-Tagging",
137,"Beschreiben Sie die fünf Nachrichten, mit denen IPv6 autokonfiguriert wird.",IPv6,"Router Solicitation, Router Advertisement, Neighbor Solicitation, Neighbor Advertisement, Redirect.",
108,Wie und warum funktioniert Multicast-Routing anders als Unicast-Routing?,IPv4 / Network Layer,Multicast 1:n Unicast 1:1,
109,Skizzieren Sie den IPv4 Header und erklären Sie die Felder?,IPv4 / Network Layer,,
120,und MAC Adresse MACA die MAC Adresse MACB von Rechner B mit IPv4,IPv4 / Network Layer,IDK,1
123,Welche Nachrichten nutzt OSPF wofür?,IPv4 / Network Layer,"OSPF nutze 1. Hello Mesage umzuerfahren wer der nächste Nachbar ist, 2. LSA: Link-State Announce 3. DBD: Datenbankabgleich 4. LSR: LSA anfordern 5. LSU: LSA senden.",
124,Wie funktioniert reverse-path forwarding?,IPv4 / Network Layer,"Reverse Path Forwarding: Sicherung gegen Schleifen bei Multicast. When a multicast packet enters a router's interface, the router checks if the incoming interface matches the best reverse path for the source IP address. If the check passes, the packet is forwarded to other interfaces participating in the multicast group; if it fails, the packet is dropped.",
34,Was versteht man unter Signalisierung?,Physical Layer,Übermittlung von Steuerinformationen über das Übertragungsmedium,1
83,Was ist ein RFC?,IPv4 / Network Layer,"Request for Comments, feedback einholen der IETF um standars im Interbet zu etablieren ",
66,Wozu dienen Cumulative ACKs?,Data Link Layer,Cumulative ACKS: bestätigen alle Frames bis zu einer Sequenznummer,2
51,Wie können Satelliten für Internet-Dienste verwendet werden?,Physical Layer,"Satelliten werden für Internet-Dienste genutzt, indem sie Daten per Funk( drahtlos mit elektromagnetischen Wellen übertragen werden – typischerweise im Radiofrequenz- oder Mikrowellenbereich. Dabei werden Informationen auf ein Trägersignal moduliert und über die Luft oder den freien Raum gesendet) zwischen Bodenstationen und Nutzeranlagen (z. B. Satellitenschüsseln) übertragen. Sie ermöglichen weltweiten Zugang, insbesondere in abgelegenen oder schlecht erschlossenen Regionen.",
105,Was ist und wie kann man Jitter beeinflussen?,IPv4 / Network Layer,"Jitter ist eine Abweichung oder Verzögerung bei der Zustellung von Datenpaketen über ein Netzwerk, also eine Verzögerung zwischen der Übertragung und dem Empfang eines Signals.",3
116,Wie funktioniert NAT anhand eines Beispiels?,IPv4 / Network Layer,,1
99,Welche Ansätze für Congestion Control kennen Sie?,IPv4 / Network Layer,"ECN = Explicit Congestion Notification→ Signalisiert überlstung ohne Paketverlust  RED = Random Early Detection: Frühzeitiges verwerfen zur Stauvermeidung  Congestion Control ist ein Verfahren zur Vermeidung und Auflösung von Staus in Computernetzwerken, um Netzwerkkomponenten vor Überlastung zu schützen. TCP verwendet ein fenster, und einen schwellenwert um die Datenübertragungsrate anzupassen und Netzwerkausfälle zu minimieren",
85,Was sind die wichtigsten Aufgaben der Netzwerkschicht?,IPv4 / Network Layer,"Routing von Paketen, Fragmentierung, Addressierung",2
71,Welche Rahmenerkennungsverfahren kennen Sie? Erklären Sie ein Verfahren.,Data Link Layer,"Bit Stuffling, Byte Stuffling, Längenfeld, Flag Felder mit Escape Zeichen, prüfsumme/CRC zur Fehlererkennung ",1
89,Was unterscheidet einen Host von einem Router?,IPv4 / Network Layer,A host is a device that is the ultimate consumer of communication services.  A router is a device that forwards data packets between different networks. It has multiple network interfaces and can be connected to multiple networks.,3
82,Wann ist FEC besser als ARQ?,Data Link Layer,"FEC (Forward Error Correction) ist besser als ACK/ARQ (Automatic Repeat reQuest) in Situationen, wo Wiederholungen ineffizient oder unmöglich sind. FEC bei Funk und Fernsehen, ARQ bei TCP und LAN.",
46,Charakterisieren Sie xDSL.,Physical Layer,Datenübertragung über Telefonkabel (Kupfer),
21,Welche Gremien standardisieren Netzwerke?,Physical Layer,"ISO, IEEE, ETSI",3
57,Was bezeichnet der Begriff Byte-Stuffing und welchen Zweck hat das Verfahren?,Data Link Layer,"Spezielle Steuerzeichen im Datenstrom (z.B. FLAG) werden bei Bedarf „gestuffed“ (z.B. durch Escape-Zeichen), um Rahmen korrekt zu erkennen.",
125,"Was ist IP-Multicast? Welches Protokoll wird im LAN verwendet, welche im WAN?",IPv4 / Network Layer,"IP-Multicast ist eine Technik, die es ermöglicht, Datenpakete gleichzeitig an mehrere Empfänger zu senden. IGMP: Verwaltet den Beitritt von Hosts zu Multicast-Gruppen im LAN. PIM-Sparse-Mode: Wird im WAN verwendet, um Multicast-Datenverkehr effizient zu verteilen ",1
36,Was ist Vectoring?,Physical Layer,Technik zur rauschunterdrückung bei DSL,
135,Wie funktioniert NDP?,IPv6,"Das Neighbor Discovery Protocol ersetzt ARP und verwaltet Adressauflösung, Router-Erkennung und Erreichbarkeitsprüfung.",
1,Was halten Sie für die beunruhigendste Entwicklung im Internet?,Allgemein,Fake News / Meinungsfreiheit / Eingriff von Akteuren in Politische Angelegenheiten durch Social Media Kampagnen --> Manipulation des Volkes ,
8,Was sind Ziele von Rechnernetzen?,Allgemein,"Ressourcenteilung, Kommunikation, Datenzugriff, Zuverlässigkeit, Kosteneffizienz.",
100,Was versteht man unter „over-provisioning“?,IPv4 / Network Layer,,
77,Wie ist die MAC-Adresse aufgebaut?,Data Link Layer,"48 byets → ersten 24 bytes = Organization Unique Identifier OUI , zweiten 24 bytes geräte erkennung ",3
113,"Was ist CIDR, welche Vorteile bringt es und wie verwendet man es?",IPv4 / Network Layer,Classless Inter-Domain Routing → Flexible Netzmaske enthält neueingführte Suffixe ../24 .../28 die die gesetzten bits in der Bitmaske repräsentieren --> Kompakter ald DDN ,
5,Welche Verordnung sorgt für den Schutz personenbezogener Daten?,Allgemein,"Datenschutzgrundverordnung, Eine europäische Verordnung die in allen Mitgliedsstaaten unmittelbar anzuwenden ist. ",
27,"Welche Modulationen verwenden FSK, ASK, PSK?",Physical Layer,,
122,An welches Routing-Protokoll ist BGP angelehnt und wie funktioniert es?,IPv4 / Network Layer,Angelehnt an Distance-Vector.,
104,Was versteht man unter hierarchischem Routing?,IPv4 / Network Layer,"Every host in the network must have a unique address that determines where it is. This address is normally assigned from a hierarchical system. For example, you can be: ""Fred Murphy"" to people in your house, ""Fred Murphy, 1 Main Street"" to Dubliners, ""Fred Murphy, 1 Main Street, Dublin"" to people in Ireland, ""Fred Murphy, 1 Main Street, Dublin, Ireland"" to people anywhere in the world.",1
50,Was ist Free Space Optics?,Physical Layer,Datenübertragung per Laser durch die Luft (z. ,
98,Was ist RED?,IPv4 / Network Layer,RED = Random Early Detection: Frühzeitiges verwerfen zur Stauvermeidung ,2
69,Skizzieren Sie den PPP Header,Data Link Layer,Point To Point Header: Flag / Address / control/Protocol/Payload/FCS,
44,Was ist SLIP?,Physical Layer,Frühes Protokoll zur IP-Übertragung über serielle Schnittstellen,
49,Auf welchen Frequenzbändern senden welche meistgenutzten 802.11 Standards?,Physical Layer,2.4 Ghz ooder 5Ghz ,1
45,Welche Leistungsmerkmale hat ISDN?,Physical Layer,Digitale Telefonleitung mit Basis- und Primärmultiplexanschluss,2
28,Was ist Baud?,Physical Layer,"Baud != Bitrate !  Baud rate, also known as the symbol rate, is the number of signal changes or symbols transmitted per second. It measures the number of times the state of a signal changes and is used to determine the bandwidth required for the transmission of the signal.",
96,Erklären Sie das Token-Bucket Verfahren.,IPv4 / Network Layer,"Token Bucket: Flexibel, erlaubt bursts Paket verlust: Wenn keine token verfügbar, Bucket ist gefüllt mit tokens, kommt neuer request wird ein token entfernt und request wird “genehmigt” sind alle tokens weg wird nach und nach wieder aufgeüllt , sind keine toke da können auch keine Reqests “genehmigt” werden ",
117,Skizzieren Sie die Funktionsweise von DHCPv4 anhand der Nachrichten.,IPv4 / Network Layer,,
133,Skizzieren Sie den IPv6 Header und erklären Sie die Bedeutung der Felder.,IPv6,"Der IPv6-Header enthält u. a. Version, Traffic Class, Flow Label, Payload Length, Next Header, Hop Limit, Source und Destination Address.",
74,Charakterisieren Sie den IEEE 802.15 Standard.,Data Link Layer,"WPAN: Wireless Personal Area Networks, Kurzstreckenkommunikation, Niedriger Energieverbauch, 2.4GHz (Bluetooth, ZigBee)",3
40,Was ist das SONET?,Physical Layer,Glasfaserstandard für Hochgeschwindigkeitsnetze (v. a. in USA),
59,Welche Aufgaben hat die Sicherungsschicht?,Data Link Layer,Sicherungsschicht (Data Link Layer): Stellt fehlerfreie Übertragung von Frames zwischen zwei direkt verbundenen Geräten sicher. Aufgaben: Rahmenbildung (Framing) / Fehlererkennung und ggf. -korrektu / Flusskontrolle (Flow Control) / Medienzugriffskontrolle (MAC),2
14,"Skizzieren Sie den Zusammenhang zwischen Schicht, Schnittstelle, Dienst und Protokoll",Allgemein,"Schicht bietet Dienst über Schnittstelle an, Protokoll regelt Kommunikation mit gleicher Schicht.",
42,"Skizzieren Sie die Funktionsweise von TDM, FDM und WDM.",Physical Layer,,3
101,Was kennzeichnet ein Open Loop Verfahren.,IPv4 / Network Layer,,1
84,Wie „entstehen“ Internet Standards?,IPv4 / Network Layer,"Problem identifizieren, Lösung als RFC einreichen, Diskussion & Verbesserung, Standardisierung durch IETF.",
3,Wo ist Privacy by design/default festgelegt und was bedeutet es?,Allgemein,Privacy by Design/Default ist in Art. 25 DSGVO geregelt; Datenschutz muss von Anfang an integriert und standardmäßig voreingestellt sein.,3
10,Was sind dynamische Netzzugänge und in welcher Hinsicht sind sie das?,Allgemein,"IP-Adressen werden temporär per DHCP vergeben, nicht fest.",
32,Was versteht man unter Multiplexing?,Physical Layer,Mehrere Signale auf einem Medium ,
64,Wozu dient ein Schiebefenster und wie kann man die erforderliche Schiebefenstergröße berechnen?,Data Link Layer,"Sender darf mehrere frames ohne ACK senden, Erhöht effizient / Fenstergröße≥Bandbreite×Round Trip Time (RTT)/Framegröße",1
90,Welche Vorteile/Nachteile hat Flooding von Routing-Informationen?,IPv4 / Network Layer,"Senden an alle Nachbarn. + Robust, - Ineffizient  ",
15,Beschreiben Sie die grundlegenden Dienstprimitiven.,Allgemein,"Request, Indication, Response, Confirm – steuern Dienstaufrufe.",
